station,latitude,longitude
"Novokosino, Moscow, Moscow, Russia (Новокосино, Москва)",55.734445,37.857779
"Melitopolskaya, Moscow, Moscow, Russia (Мелитопольская, Москва)",55.535478,37.57936
"Proletarskiy, Moscow, Moscow, Russia (Пролетарский проспект, Москва)",55.635129,37.658684
"Hamovniki, Moscow, Moscow, Russia (Хамовники, Москва)",55.718774,37.570271
"Mkad-52-km-zapad, Moscow, Moscow, Russia",55.703489,37.397577
"Ostankino, Moscow, Moscow, Russia (Останкино, Москва)",55.821154,37.612592
"Narod_op, Moscow, Moscow, Russia (Народного ополчения, Москва)",55.776064,37.475878
"Ochakovskaya, Moscow, Moscow, Russia",55.693546,37.455579
"Veshnyaki, Moscow, Moscow, Russia (Вешняки, Москва)",55.719959,37.795549
"Suhar, Moscow, Moscow, Russia (Сухаревка, Москва)",55.773757,37.627445
"Kojuhovo, Moscow, Moscow, Russia (Кожухово, Москва)",55.723093,37.910381
"Vernad, Moscow, Moscow, Russia (Ак. Анохина, Москва)",55.658163,37.471434
"Spirid, Moscow, Moscow, Russia (Спиридоновка, Москва)",55.759354,37.595584
"Koptevo, Moscow, Moscow, Russia (Коптевский, Москва)",55.833222,37.525158
"Marin, Moscow, Moscow, Russia (Марьино, Москва)",55.652695,37.751502
"Parkovaya, Moscow, Moscow, Russia (Мобильная станция Парковая, Москва)",55.804364,37.839048
"Mgu, Moscow, Moscow, Russia (МГУ, Москва)",55.707241,37.52241
"Guryanova, Moscow, Moscow, Russia (Гурьянова, Москва)",55.679393,37.716882
"Zhulebino, Moscow, Moscow, Russia (Жулебино, Москва)",55.688043,37.863004
"Zelen_15, Moscow, Moscow, Russia (Зеленоград 16, Москва)",55.976936,37.149584
"Shabol, Moscow, Moscow, Russia (Шаболовка, Москва)",55.715698,37.6052377
"Cheremushki, Moscow, Moscow, Russia (Черемушки, Москва)",55.680056,37.584782
"Zelen_11, Moscow, Moscow, Russia (Зеленоград 11, Москва)",55.994145,37.172252
"Glebovskaya, Moscow, Moscow, Russia (Глебовская, Москва)",55.811801,37.71249
"Dolgoprud, Moscow, Moscow, Russia (Долгопрудная, Москва)",55.894383,37.536881
"Turist, Moscow, Moscow, Russia (Туристская, Москва)",55.856324,37.426628
