date, pm25, pm10, o3, no2, so2, co
2023/12/1, 27, 35, 13, 26, 1, 4
2023/12/2, 51, 25, 3, 23, 1, 3
2023/12/3, 43, 19, 7, 17, 1, 3
2023/12/4, 32, 19, 1, 21, , 3
2023/12/5, 36, 32, , 26, , 7
2023/12/6, 49, 32, 1, 25, , 6
2023/12/7, 50, 23, 1, 21, , 5
2023/12/8, 36, 25, 2, 20, , 4
2023/12/9, 39, 20, 7, 20, , 2
2023/12/10, 33, 16, 12, 23, , 1
2023/12/11, 27, , 11, , , 
2023/12/13, 34, 49, 3, 17, , 3
2023/12/14, 48, 47, 5, 22, , 3
2023/12/15, 52, 28, , 17, , 2
2023/12/16, 37, 8, 15, 15, , 1
2023/12/17, 10, 12, 16, 21, , 3
2023/12/18, 9, 7, 8, 17, , 2
2023/12/19, 8, , , , , 
2023/11/6, 15, 10, 7, 15, , 2
2023/11/7, 11, 25, 9, 15, , 2
2023/11/8, 14, 52, 11, 19, , 3
2023/11/9, 28, 41, , 16, , 3
2023/11/10, 22, 36, 5, 15, , 2
2023/11/11, 26, 16, 11, 16, , 2
2023/11/12, 15, 7, 11, 12, , 2
2023/11/13, 10, 7, 8, 14, , 1
2023/11/14, 8, 31, 9, 20, , 3
2023/11/15, 22, 36, 8, 12, , 3
2023/11/16, 28, 35, 8, 17, , 3
2023/11/17, 18, 51, 16, 28, , 5
2023/11/18, 34, 48, 7, 28, , 2
2023/11/19, 46, 43, , 22, , 3
2023/11/20, 43, 29, 7, 15, , 2
2023/11/21, 23, 13, 9, 18, , 1
2023/11/22, 17, 9, , 16, , 3
2023/11/23, 9, 21, 20, 22, , 4
2023/11/24, 27, 29, 3, 20, , 3
2023/11/25, 48, 29, , 21, , 5
2023/11/26, 40, 16, , 19, , 5
2023/11/27, 19, 13, 5, 15, , 2
2023/11/28, 22, 17, 6, 22, , 4
2023/11/29, 26, 13, 10, 19, , 3
2023/11/30, 16, 17, 10, 19, , 3
2023/10/1, 30, 20, 8, 16, , 2
2023/10/2, 17, 17, 15, 13, , 3
2023/10/3, 9, 23, 22, 13, , 1
2023/10/4, 20, 15, , 17, , 3
2023/10/5, 13, 12, 12, 13, , 2
2023/10/6, 12, 15, 12, 17, , 2
2023/10/7, 11, 6, 16, 9, , 2
2023/10/8, 8, 7, 7, 11, , 1
2023/10/9, 10, 12, 9, 12, , 2
2023/10/10, 10, 18, 15, 16, , 3
2023/10/11, 14, 14, 15, 14, , 2
2023/10/12, 16, 14, 17, 16, , 2
2023/10/13, 10, 21, 15, 19, , 2
2023/10/14, 18, , 16, , , 
2023/10/16, 16, 10, 8, 15, , 3
2023/10/17, 9, 10, 11, 14, , 1
2023/10/18, 10, 11, 8, 18, , 4
2023/10/19, 16, 16, 2, 17, , 6
2023/10/20, 22, 24, 4, 12, , 3
2023/10/21, 19, 23, 1, 14, , 1
2023/10/22, 31, 21, , 13, , 5
2023/10/23, 28, 10, 16, 10, , 2
2023/10/24, 18, 59, 14, 21, , 5
2023/10/25, 31, 42, 12, 17, , 2
2023/10/26, 22, 17, 9, 17, , 6
2023/10/27, 19, 21, 1, 14, , 5
2023/10/28, 22, 9, 2, 9, , 1
2023/10/29, 19, 14, 2, 15, , 4
2023/10/30, 16, 18, 8, 17, , 3
2023/10/31, 21, , , , , 
2023/7/1, 18, 21, 29, , , 1
2023/7/2, 21, 28, 30, , , 2
2023/7/3, 25, 27, 39, , , 2
2023/7/4, 23, 33, 30, , , 2
2023/7/5, 33, 29, 39, , , 2
2023/7/6, 28, 33, 22, , , 3
2023/7/7, 39, 26, 26, , , 2
2023/7/8, 27, 27, 33, , , 3
2023/7/9, 23, 22, 16, , , 2
2023/7/10, 17, 19, 6, , , 
2023/7/11, 14, 16, 5, , , 
2023/7/12, 11, 17, 3, 15, , 1
2023/7/13, 18, 18, 3, 13, , 1
2023/7/14, 17, 19, 10, 15, , 2
2023/7/15, 19, 21, 27, 12, , 1
2023/7/16, 20, 29, 37, 18, , 3
2023/7/17, 25, 35, 31, 27, , 6
2023/7/18, 38, 11, 23, 8, , 
2023/7/19, 10, 17, 27, 9, , 
2023/7/20, 14, 22, 14, 14, , 
2023/7/21, 16, 19, 14, 9, , 
2023/7/22, 16, 24, 12, 26, , 
2023/7/23, 23, 15, 5, , , 
2023/7/24, 15, 23, 13, 16, , 
2023/7/25, 21, 27, 8, 20, , 
2023/7/26, 42, 27, 1, 15, , 
2023/7/27, 23, 27, 1, 18, , 
2023/7/28, 41, 12, 6, 13, , 
2023/7/29, 14, 24, , 19, , 
2023/7/30, 30, , 13, , , 
2023/8/1, 21, 40, 18, , , 
2023/8/2, 42, 35, 16, , , 
2023/8/3, 33, 39, 17, 42, , 
2023/8/4, 37, 27, 22, 21, , 
2023/8/5, 22, 36, 27, 22, , 
2023/8/6, 35, 30, 19, 14, , 
2023/8/7, 24, 34, 12, 17, , 
2023/8/8, 33, 23, 14, 12, , 
2023/8/9, 16, 23, , 11, , 
2023/8/10, 22, 46, , 32, , 8
2023/8/11, 37, 39, 12, 27, , 5
2023/8/12, 39, 24, 13, 16, , 4
2023/8/13, 27, 15, 10, 14, , 3
2023/8/14, 18, 23, 27, 19, , 2
2023/8/15, 17, 23, 29, 21, , 3
2023/8/16, 19, 37, 37, 30, , 5
2023/8/17, 32, 50, 15, 38, , 6
2023/8/18, 48, 33, 35, 19, , 5
2023/8/19, 33, 28, 27, 20, , 4
2023/8/20, 41, 19, 26, 17, , 4
2023/8/21, 9, 35, 13, 29, , 5
2023/8/22, 28, 22, 14, 19, , 3
2023/8/23, 26, 24, 8, 17, , 4
2023/8/24, 19, 24, 17, 19, , 4
2023/8/25, 15, 37, 12, 25, , 8
2023/8/26, 38, 22, 12, 16, , 4
2023/8/27, 21, 28, 22, 22, , 4
2023/8/28, 24, 31, 7, 21, , 3
2023/8/29, 29, 27, 14, 22, , 4
2023/8/30, 21, 34, 28, 28, , 4
2023/8/31, 30, 38, 34, 28, , 3
2023/9/1, 33, 48, 5, 35, , 5
2023/9/2, 50, 22, 21, 21, , 3
2023/9/3, 18, 37, 21, 24, , 6
2023/9/4, 34, 22, 26, 23, , 3
2023/9/5, 19, 23, 19, 16, , 3
2023/9/6, 15, 16, 16, 13, , 2
2023/9/7, 13, 12, 14, 13, , 1
2023/9/8, 12, , 8, , , 
2023/9/11, 47, 42, 11, 27, 1, 5
2023/9/12, 42, 45, 17, 28, 1, 7
2023/9/13, 35, 43, 18, 28, 1, 4
2023/9/14, 34, 39, 24, 28, , 5
2023/9/15, 30, 23, 11, 15, , 3
2023/9/16, 26, 22, 19, 19, , 4
2023/9/17, 17, 25, 9, 20, , 5
2023/9/18, 28, 40, 5, 27, 1, 6
2023/9/19, 42, 39, 32, 19, , 2
2023/9/20, 28, 32, 30, 20, , 2
2023/9/21, 34, 46, 32, 30, , 7
2023/9/22, 37, 44, 30, 30, , 3
2023/9/23, 36, 41, 30, 23, 1, 2
2023/9/24, 35, 25, 17, 17, , 3
2023/9/25, 20, 40, 4, 29, , 6
2023/9/26, 24, 39, 18, 28, , 4
2023/9/27, 29, 39, 20, 30, , 4
2023/9/28, 32, 36, 15, 29, , 4
2023/9/29, 25, 45, 30, 27, , 3
2023/9/30, 33, 29, 24, 14, , 2
2023/4/1, 25, 26, 15, 21, , 2
2023/4/2, 35, 62, 12, 36, , 5
2023/4/3, 46, 58, 12, 28, , 5
2023/4/4, 44, 70, 9, 20, , 5
2023/4/5, 39, 80, 21, 21, , 4
2023/4/6, 35, 78, 26, 25, , 4
2023/4/7, 33, 76, , 31, , 5
2023/4/8, 45, 60, , 33, , 3
2023/4/9, 50, , 23, , , 
2023/4/14, 29, 47, , , , 5
2023/4/15, 25, 39, 30, , 1, 2
2023/4/16, 30, 51, 27, , , 3
2023/4/17, 48, 68, 22, , , 4
2023/4/18, 51, 62, 36, , 1, 4
2023/4/19, 40, 59, 36, , , 4
2023/4/20, 41, 54, 33, , , 4
2023/4/21, 30, 48, 30, , , 3
2023/4/22, 28, 63, 33, , , 11
2023/4/23, 39, 52, 39, , , 2
2023/4/24, 37, 45, 28, , , 2
2023/4/25, 34, 23, 19, , , 3
2023/4/26, 18, 39, 32, , , 3
2023/4/27, 23, 38, 10, , , 2
2023/4/28, 37, 20, 23, , , 4
2023/4/29, 13, 51, 25, , , 6
2023/4/30, 36, 18, 20, , , 2
2023/5/1, 14, 25, 27, , , 2
2023/5/2, 16, 30, 21, , , 
2023/5/3, 22, 24, 26, , , 
2023/5/4, 17, 30, 22, , , 
2023/5/5, 21, 25, 13, , , 
2023/5/6, 16, 20, , , , 
2023/5/7, 17, 27, 30, , , 
2023/5/8, 21, 40, 32, , , 
2023/5/9, 33, 39, 30, , , 
2023/5/10, 32, 44, 21, , , 
2023/5/11, 33, 47, 38, , , 
2023/5/12, 32, 49, 40, , , 
2023/5/13, 34, 38, 27, , , 
2023/5/14, 24, 32, 29, , , 
2023/5/15, 24, 41, 28, , , 
2023/5/16, 32, 31, 37, , , 
2023/5/17, 25, 46, 41, , , 
2023/5/18, 38, 32, 25, , , 
2023/5/19, 22, 31, 20, , , 
2023/5/20, 20, 15, 19, , , 
2023/5/21, 17, 47, 19, , , 
2023/5/22, 41, 49, 13, , , 
2023/5/23, 38, 41, 18, , , 
2023/5/24, 31, 51, 6, , , 
2023/5/25, 52, 45, 25, , , 
2023/5/26, 36, 38, 26, , , 
2023/5/27, 31, 24, 24, , , 
2023/5/28, 18, 20, 32, , , 
2023/5/29, 18, 34, 35, , , 
2023/5/30, 27, 24, 18, , , 
2023/5/31, 22, 28, 27, , , 
2023/6/1, 18, 33, 29, , , 
2023/6/2, 27, 18, 12, , , 
2023/6/3, 19, 15, 11, , , 1
2023/6/4, 14, 15, 20, , , 1
2023/6/5, 14, 18, 26, , , 2
2023/6/6, 15, 24, 25, , , 2
2023/6/7, 18, 30, 35, , , 1
2023/6/8, 26, 31, 29, , , 2
2023/6/9, 27, , 19, , , 1
2023/6/10, 22, , 25, 16, , 2
2023/6/11, 20, , 19, 17, , 1
2023/6/12, 17, , 24, 24, , 3
2023/6/13, 19, , 34, 28, 1, 2
2023/6/14, 28, , 23, 31, 1, 4
2023/6/15, 30, , 38, 31, , 4
2023/6/16, 37, , 32, 26, , 3
2023/6/17, 38, , 31, 18, , 3
2023/6/18, 24, , 34, 18, , 2
2023/6/19, 22, 27, 26, 22, , 2
2023/6/20, 20, 25, 27, 17, , 3
2023/6/21, 21, 31, 33, 24, , 3
2023/6/22, 27, 28, 13, 28, , 5
2023/6/23, 37, 27, 19, 17, , 5
